latitude,longitude,zipcode,severity,Comments,SubCategory,Item
37.35114794,-121.8071151,95127,1,p/up broken chair - mirror closet door,OTH - Other,Other
37.31829305,-121.8585909,95112,1,p/up 4 broken bags of rocks and rocks over cb,OTH - Other,Other
37.31971325,-121.7882751,95148,2,p/up computer monitor,FUR - Furniture,Furniture
37.34908019,-121.9002226,95110,1,p/up block of cement,OTH - Other,Other
37.29565919,-121.9766462,95130,3,swept up glass from rd/wy,GLA - Glass,Glass
37.3456289,-121.8165536,95148,2,"P/UP BAGS OF GARBAGE, CARDBOARD, DEBRIS",FUR - Furniture,Furniture
37.30061081,-121.936797,95128,2,p/up couch & misc items - area clear,FUR - Furniture,Furniture
37.33178649,-121.839983,95122,2,p/up tv stand and misc items - area clear,FUR - Furniture,Furniture
37.43133673,-121.9687559,95002,1,p./u 7 bags garb,GAR - Garbage,Garbage
37.29638729,-121.8499348,95111,2,p/u 2 tires & garb/litter,TIR - Tires,Tires
37.25457454,-121.866229,95123,1,nothing at location upon arrival,OTH - Other,Other
37.29862564,-121.8216735,95121,2,p/u buffett hutch glass debris,FUR - Furniture,Furniture
37.26084813,-121.8064852,95113,2,p/u mattress & boxspring,FUR - Furniture,Furniture
37.34127565,-121.7929843,95148,2,p/u 2 auto tires & 1 rim,TIR - Tires,Tires
37.32158098,-121.9171665,95126,2,"p/u burnt recliner, sofa, bike fire debris",FUR - Furniture,Furniture
37.27873597,-121.8199255,95111,1,COMPLETE,YW - Yard Waste,Yard Waste
37.24312333,-121.8449615,95123,1,NULL,OTH - Other,Other
37.352049,-121.8817501,95112,1,"green waste can pick up, clean pile",YW - Yard Waste,Yard Waste
37.32081175,-121.851439,95122,2,p.u tile wood carpet pad,FUR - Furniture,Furniture
37.34010815,-121.829616,95122,1,p/up rubber mats - cardboard,OTH - Other,Other
37.34067095,-121.8301585,95122,2,p/up 1 auto tire rim,TIR - Tires,Tires
37.34119003,-121.8351644,95122,2,p/up black leather sofa chair,FUR - Furniture,Furniture
37.34405643,-121.8385454,95116,2,p/up 2 sofas and recliner - dump at mabury,FUR - Furniture,Furniture
37.34543438,-121.8398035,95116,2,p/up couch and cart of debris - dump at mabury,FUR - Furniture,Furniture
37.26570306,-121.8122593,95111,2,p/up mattress - dump at mabury,FUR - Furniture,Furniture
37.32617735,-121.9047957,95126,2,p/up couch - dump at mabury,FUR - Furniture,Furniture
37.33036917,-121.928716,95126,1,unable to locate,OTH - Other,Other
37.25462872,-121.7952482,95138,1,"p/u 1 bag garb, plast garb can full",GAR - Garbage,Garbage
37.36409561,-121.8458879,95116,2,p.u ottoman,FUR - Furniture,Furniture
37.36055942,-121.8943433,95112,1,NULL,YW - Yard Waste,Yard Waste
37.31438474,-121.9689061,95117,2,P/U HEADBOARD & FOOTBOARD,FUR - Furniture,Furniture
37.35425605,-121.8219312,95127,1,SWEPT & P/U SAND & CONCRETE #2 LANE EB,OTH - Other,Other
37.34517,-121.8900687,95112,2,E-MAIL WHEN COMPLETED p/u roll away desk,FUR - Furniture,Furniture
37.29002801,-121.81305,95121,1,p.u roll of carpet in middle of street & carpet pad by fence,OTH - Other,Other
37.26746986,-121.8219521,95136,1,job completed by landscape,YW - Yard Waste,Yard Waste
37.3526092,-121.8367457,95116,2,p/up furniture,FUR - Furniture,Furniture
37.41455576,-121.8795851,95132,1,"p/up garbage, tire & stroller",OTH - Other,Other
37.31861034,-121.9168431,95129,2,p/u lamp,FUR - Furniture,Furniture
37.32347885,-121.9154956,95126,2,P/U MATTRESS,FUR - Furniture,Furniture
37.27883934,-121.8270022,95111,2,p/u mattress clothes garb (on san ramon),FUR - Furniture,Furniture
37.3155003,-121.9898123,95129,1,p/up misc debris,GAR - Garbage,Garbage
37.31727004,-121.9227074,95128,1,no yw at location upon arrival,YW - Yard Waste,Yard Waste
37.31727004,-121.9227074,95128,3,NULL,HAZ - Haz Mat,Haz Mat
37.32377335,-121.9049915,95126,1,p/u furn wood,GAR - Garbage,Garbage
37.36520545,-121.8718485,95133,2,p/u 2 drawers & wood,FUR - Furniture,Furniture
37.3649581,-121.8615402,95133,2,p/u desk broken up (on las plumas),FUR - Furniture,Furniture
37.3624859,-121.8651495,95133,1,"p/u litter, clothes, debris",GAR - Garbage,Garbage
37.29982967,-121.9831202,95129,2,p/u sofa,FUR - Furniture,Furniture
37.25024926,-121.7705864,95148,1,NULL,OTH - Other,Other
37.34734479,-121.8795102,95112,3,could not locate,GLA - Glass,Glass
37.35643292,-121.8020669,95127,2,p/up mattress,FUR - Furniture,Furniture
37.22143368,-121.893091,95120,1,p/u bag of garb,GAR - Garbage,Garbage
37.22580787,-121.9034705,95120,1,p/u 2 bag of garb,GAR - Garbage,Garbage
37.23125441,-121.9037238,95124,1,p/u bag of garb,GAR - Garbage,Garbage
37.26661003,-121.9253921,95124,2,p/u lounge chairs & debris,FUR - Furniture,Furniture
37.32828686,-121.8317562,95122,2,p/u mattress boxspring wood,FUR - Furniture,Furniture
37.33441763,-121.8297179,95122,2,p/u boxspring,FUR - Furniture,Furniture
37.30733003,-121.9722776,95117,2,p/u tv,FUR - Furniture,Furniture
37.3141348,-121.910923,95126,2,p/u tire auto rim,TIR - Tires,Tires
37.3141348,-121.910923,95126,2,p/u boxspring,FUR - Furniture,Furniture
37.32170393,-121.8173266,95122,2,NULL,FUR - Furniture,Furniture
37.24475281,-121.7634249,95116,2,p/up a load of furniture,FUR - Furniture,Furniture
37.31069107,-121.926617,95128,1,NULL,OTH - Other,Other
37.34119003,-121.8351644,95122,2,p/up mattress,FUR - Furniture,Furniture
37.37859187,-121.8464899,95133,1,COMPLETE,YW - Yard Waste,Yard Waste
37.29342064,-121.8332141,95111,3,unable to locate,GLA - Glass,Glass
37.25774984,-121.9094918,95124,2,"p/up mattress, box spring in street",FUR - Furniture,Furniture
37.31262781,-121.8185172,95121,1,"p/up roll of carpet, tv, vacuum and load of debris",GAR - Garbage,Garbage
37.26150669,-121.9060874,95124,3,fill haz containter with syringes at ross creek - notified dispatch,HAZ - Haz Mat,Haz Mat
37.36055942,-121.8943433,95112,1,NULL,YW - Yard Waste,Yard Waste
37.36180136,-121.8826998,95112,1,p/up garbage in street,GAR - Garbage,Garbage
37.32069846,-121.8150524,95122,2,"p/up sleeper, tv, garbage, debris",FUR - Furniture,Furniture
37.3141404,-121.9127516,95126,3,p/up computer monitor,HAZ - Haz Mat,Haz Mat
