latitude,longitude,zipcode,severity
37.25740084,-121.8235522,95123,1
37.3251876,-121.8057284,95148,2
37.30603966,-122.0129112,95129,1
37.34868809,-121.8618118,95116,3
37.32359104,-121.8282988,95122,1
37.33098396,-121.8013286,95148,1
37.33311664,-121.8377439,95122,1
37.35173733,-121.8046966,95127,2
37.34950379,-121.8600917,95116,3
37.31473912,-121.8790923,95110,1
37.30246277,-121.7825628,95121,2
37.33500669,-121.7949134,95148,1
37.34384287,-121.8688416,95116,2
37.33352943,-121.8641471,95116,1
37.30439396,-121.9790372,95129,2
37.34332707,-121.8958955,95110,2
37.34428468,-121.8186515,95127,1
37.32962065,-121.8784817,95112,3
37.28016249,-121.8518549,95136,3
37.3435994,-121.8295896,95122,2
37.314107,-121.8800444,95110,3
37.3635098,-121.8289791,95127,1
37.33735465,-121.8518542,95122,3
37.34189651,-121.9214221,95126,1
37.20582894,-121.8731883,95120,2
37.32377335,-121.9049915,95126,1
37.22379341,-121.775985,95139,2
37.31262781,-121.8185172,95121,1
37.29754518,-121.9451437,95128,2
37.30014014,-121.7864846,95121,3
37.26853214,-121.9216431,95124,2
37.30845634,-121.9306343,95128,3
37.27297999,-121.744347,95138,1
37.22643376,-121.7511493,95138,1
37.29019757,-121.8202651,95111,2
37.34883382,-121.8885245,95112,2
37.31148816,-121.9711581,95117,2
37.23691566,-121.8159839,95123,2
37.34770328,-121.8377038,95116,3
37.34428468,-121.8186515,95127,2
37.34477111,-121.8192884,95127,3
37.25197646,-121.8075416,95123,1
37.32543101,-121.8230153,95122,3
37.33468875,-121.8519469,95122,2
37.37104232,-121.8024288,95127,2
37.34495156,-121.8393662,95116,2
37.3508645,-121.8633811,95116,3
37.31352282,-121.8809256,95110,1
37.32881576,-121.908999,95126,2
37.34495156,-121.8393662,95116,2
37.32207135,-121.8280876,95122,1
37.26945663,-121.8036129,95111,3
37.39425834,-121.8655459,95132,2
37.2563066,-121.9404377,95124,1
37.26948334,-121.9395533,95008,2
37.21096899,-121.853478,95120,1
37.33805637,-121.7954045,95148,2
37.29408037,-121.97077,95130,3
37.29403088,-121.9717401,95130,2
37.21483283,-121.8672054,95120,2
37.35963191,-121.8277212,95127,3
37.33274767,-121.8643056,95116,1
37.33223079,-121.86522,95112,2
37.34266459,-121.8309529,95122,2
37.34266459,-121.8309529,95122,2
37.318918,-121.9154619,95126,2
37.31866508,-121.9154979,95126,3
37.31861034,-121.9168431,95126,2
37.35258885,-121.862241,95116,1
37.35160946,-121.8826873,95112,3
37.34307383,-121.8885063,95112,2
37.26369898,-121.8145727,95111,1
37.35094903,-121.8615701,95116,1
37.34018677,-121.8863535,95112,2
37.28328939,-121.878441,95125,2
37.36408311,-121.8796091,95133,3
37.29403088,-121.9717401,95130,2
37.35065265,-121.8301569,95116,1
37.33328594,-121.8342851,95122,3
37.18398334,-121.7057079,95037,2
37.33487831,-121.8290379,95122,2
37.29036094,-121.9856517,95130,2
37.32973436,-121.8379907,95122,2
37.34022522,-121.8560323,95116,1
37.28536618,-121.8138808,95111,1
37.28668034,-121.8399321,95111,3
37.33224686,-121.8392444,95122,2
37.30030543,-121.9198289,95125,1
37.32801757,-121.8786715,95112,2
37.29776913,-121.9544557,95117,3
37.32128146,-121.8180491,95122,3
37.30858111,-121.9820616,95129,1
37.31070169,-121.9194218,95128,1
37.33376196,-121.7969644,95148,1
37.41366059,-121.8739486,95132,2
37.26108546,-121.9189201,95124,3
37.3320797,-121.8379041,95122,1
37.33090992,-121.8413903,95122,2
37.28874997,-121.8464185,95070,2
37.34848696,-121.8073782,95127,2
37.31513319,-121.9808555,95129,3
37.31381615,-121.8079201,95121,3
37.32289474,-121.8851661,95110,2
37.31431436,-121.9462671,95128,1
37.33271232,-121.8337272,95122,3
37.2968428,-121.8198907,95121,1
37.36197079,-121.8913422,95112,1
37.3664569,-121.8666056,95133,3
37.34871072,-121.8595069,95116,2
37.24729249,-121.8978384,95118,3
37.314107,-121.8800444,95110,1
37.27275519,-121.8692464,95136,1
37.29572621,-121.8848908,95125,1
37.39059796,-121.8800944,95131,1
